source_id,citation_key,title,source_type,primary_url,doi,status,topic,exact_support_location,claim_supported,notes
S12,izacard2021fid,"Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering",conference,https://aclanthology.org/2021.eacl-main.74/,10.18653/v1/2021.eacl-main.74,verified,rag,"Abstract; Sections 2--4","Fusion-in-Decoder aggregates evidence from separately encoded retrieved passages and benefits from additional retrieved passages in its evaluated setting.",ACL Anthology metadata and DOI verified
S13,reimers2019sbert,"Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks",conference,https://aclanthology.org/D19-1410/,10.18653/v1/D19-1410,verified,retrieval,"Abstract; Section 3","SBERT produces sentence embeddings suitable for efficient semantic similarity comparison.",ACL Anthology metadata and DOI verified
S14,khattab2020colbert,"ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT",conference,https://doi.org/10.1145/3397271.3401075,10.1145/3397271.3401075,verified,retrieval,"Abstract; Sections 2--3","ColBERT retains token-level late interaction while precomputing document representations for retrieval.",ACM DOI verified
S15,lo2020s2orc,"S2ORC: The Semantic Scholar Open Research Corpus",conference,https://aclanthology.org/2020.acl-main.447/,10.18653/v1/2020.acl-main.447,verified,scientific_documents,"Abstract; Section 2","S2ORC provides machine-readable scientific full text with sections and references to tables and figures.",ACL Anthology metadata and DOI verified
S16,wadden2020scifact,"Fact or Fiction: Verifying Scientific Claims",conference,https://aclanthology.org/2020.emnlp-main.609/,10.18653/v1/2020.emnlp-main.609,verified,scientific_qa,"Abstract; task definition","SciFact pairs expert-written scientific claims with evidence abstracts, labels and rationales.",ACL Anthology metadata and DOI verified
S17,deyoung2020evidence,"Evidence Inference 2.0: More Data, Better Models",conference,https://aclanthology.org/2020.bionlp-1.13/,10.18653/v1/2020.bionlp-1.13,verified,scientific_qa,"Abstract; Section 1","Evidence Inference requires predictions about clinical-trial comparisons together with supporting evidence.",ACL Anthology metadata and DOI verified
S18,press2023selfask,"Measuring and Narrowing the Compositionality Gap in Language Models",conference,https://aclanthology.org/2023.findings-emnlp.378/,10.18653/v1/2023.findings-emnlp.378,verified,adaptive_retrieval,"Abstract; Section 3","Self-Ask decomposes questions into explicit follow-up questions that can be answered using a search engine.",ACL Anthology metadata and DOI verified
S19,dror2018significance,"The Hitchhiker's Guide to Testing Statistical Significance in Natural Language Processing",conference,https://aclanthology.org/P18-1128/,10.18653/v1/P18-1128,verified,evaluation,"Abstract; Sections 3--4","NLP evaluation should match statistical procedures to the data and metric structure rather than report unsupported significance claims.",ACL Anthology metadata and DOI verified
S20,schick2023toolformer,"Toolformer: Language Models Can Teach Themselves to Use Tools",conference,https://proceedings.neurips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html,10.52202/075280-2997,verified,tool_use,"Abstract; Section 2","Toolformer trains a model to decide which APIs to call and when, contrasting with the fixed rule policy in this dissertation.",NeurIPS primary record and DOI verified
S21,yao2023react,"ReAct: Synergizing Reasoning and Acting in Language Models",conference,https://openreview.net/forum?id=WE_vluYUL-X,,verified,tool_use,"Abstract; Sections 2--3","ReAct interleaves language-model reasoning traces and external actions.",ICLR/OpenReview primary record; no DOI listed
